COD_MUNIC7_tbProjPopTCU;COD_REG;COD_UF_tbProjPopTCU;COD_MUNIC_tbProjPopTCU;POPULACAO_ESTIMADA _tbProjPopTCU;AREA_MUN;DENSIDADE_POP;capital_tbMunLatLong;latitude_tbMunLatLong;longitude_tbMunLatLong;CENTRAL_DE_ABASTECIMENTO;CENTRAL_DE_GESTAO_EM_SAUDE;CENTRAL_DE_NOTIFICACAO_CAPTACAO_E_DISTRIB_DE_ORGAOS_ESTADUAL;CENTRAL_DE_REGULACAO_DE_SERVICOS_DE_SAUDE;CENTRAL_DE_REGULACAO_DO_ACESSO;CENTRAL_DE_REGULACAO_MEDICA_DAS_URGENCIAS;CENTRO_DE_APOIO_A_SAUDE_DA_FAMILIA;CENTRO_DE_ATENCAO_HEMOTERAPIA_E_OU_HEMATOLOGICA;CENTRO_DE_ATENCAO_PSICOSSOCIAL;CENTRO_DE_IMUNIZACAO;CENTRO_DE_PARTO_NORMAL_-_ISOLADO;CENTRO_DE_SAUDE_UNIDADE_BASICA;CLINICA_CENTRO_DE_ESPECIALIDADE;CONSULTORIO_ISOLADO;COOPERATIVA_OU_EMPRESA_DE_CESSAO_DE_TRABALHADORES_NA_SAUDE;FARMACIA;HOSPITAL_ESPECIALIZADO;HOSPITAL_GERAL;HOSPITAL_DIA_-_ISOLADO;LABORATORIO_CENTRAL_DE_SAUDE_PUBLICA_LACEN;LABORATORIO_DE_SAUDE_PUBLICA;OFICINA_ORTOPEDICA;POLICLINICA;POLO_ACADEMIA_DA_SAUDE;POLO_DE_PREVENCAO_DE_DOENCAS_E_AGRAVOS_E_PROMOCAO_DA_SAUDE;POSTO_DE_SAUDE;PRONTO_ATENDIMENTO;PRONTO_SOCORRO_ESPECIALIZADO;PRONTO_SOCORRO_GERAL;SERVICO_DE_ATENCAO_DOMICILIAR_ISOLADO_HOMECARE;TELESSAUDE;UNIDADE_DE_APOIO_DIAGNOSE_E_TERAPIA_ISOLADO;UNIDADE_DE_ATENCAO_A_SAUDE_INDIGENA;UNIDADE_DE_ATENCAO_EM_REGIME_RESIDENCIAL;UNIDADE_DE_VIGILANCIA_EM_SAUDE;UNIDADE_MISTA;UNIDADE_MOVEL_DE_NIVEL_PREHOSPITALAR_NA_AREA_DE_URGENCIA;UNIDADE_MOVEL_FLUVIAL;UNIDADE_MOVEL_TERRESTRE;QT_UNIDADES_BASICAS;QT_EXIST_LEITOS_rlEstabComplementar
1100254;1;11;254;18986;1758.465;10.796916628991763;0;-11.169;-61.8986;0;1;0;0;0;0;0;0;1;0;0;6;2;5;0;2;0;0;0;0;1;0;3;0;1;12;0;0;0;0;0;3;0;0;1;1;0;0;0;39;45.0
1100262;1;11;262;3764;1717.64;2.1913788686802818;0;-9.69965;-62.9011;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;12;9.0
1100288;1;11;288;55058;1457.888;37.76558967492703;0;-11.7271;-61.7714;0;2;0;0;1;0;0;1;1;0;0;12;10;74;0;2;0;3;0;0;0;0;4;0;1;3;0;0;0;0;0;16;0;0;2;0;0;0;0;132;98.0
1100296;1;11;296;6495;1197.796;5.42245925015612;0;-11.9074;-61.7777;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;14;25.0
1100304;1;11;304;99854;11699.15;8.535149989529152;0;-12.7502;-60.1488;1;3;0;0;1;0;0;0;1;1;0;9;57;199;0;7;0;3;0;0;1;1;1;0;0;11;0;0;0;5;0;38;2;0;3;0;0;0;2;346;233.0
1100320;1;11;320;23005;7460.219;3.0836896343123437;0;-11.6953;-62.7192;0;1;0;0;0;0;0;0;0;0;0;2;2;8;0;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0;0;0;25;44.0
1100338;1;11;338;30583;10071.643;3.0365452786600957;0;-10.4077;-65.3346;0;1;0;0;0;0;0;0;1;0;0;3;3;2;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;19;20.0
1100346;1;11;346;14411;3029.1890000000008;4.757378955225309;0;-11.3463;-62.2847;0;1;0;0;0;0;0;0;0;0;0;6;1;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;22;35.0
1100379;1;11;379;13241;3958.273;3.34514572390535;0;-12.132;-61.835;0;1;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;14;16.0
1100403;1;11;403;21428;2651.822;8.080482023303222;0;-9.71429;-63.3188;0;1;0;0;0;0;0;0;0;0;0;4;2;3;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;1;0;0;0;0;19;16.0
1100452;1;11;452;39654;3265.809;12.142167530311784;0;-10.1943;-63.8324;0;1;0;0;0;1;0;0;1;0;0;5;2;9;0;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;3;0;2;0;0;41;81.0
1100502;1;11;502;8538;843.446;10.122758303436141;0;-11.6961;-61.9951;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;8;18.0
1100601;1;11;601;6230;1961.778;3.17569062350582;0;-10.349;-62.9043;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;1;1;0;0;0;11;26.0
1100700;1;11;700;14139;3442.005;4.107780203689419;0;-10.5712;-63.6266;0;1;0;0;0;0;0;0;0;0;0;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;1;14;19.0
1100809;1;11;809;26693;6843.868;3.9002797833038274;0;-8.7907;-63.7005;1;1;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;2;1;0;0;0;21;15.0
1100908;1;11;908;3052;892.842;3.4182979743336452;0;-11.4253;-61.9482;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;6;7.0
1100924;1;11;924;11182;5126.723;2.181120376505616;0;-12.5611;-60.8877;0;1;0;0;0;0;1;0;0;0;0;4;1;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;2;1;0;0;0;21;10.0
1100940;1;11;940;25215;3863.946;6.525712315855347;0;-9.36065;-62.5846;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;2;0;2;0;1;19;11.0
1101005;1;11;1005;7767;5067.384;1.5327435221013446;0;-10.61;-62.7371;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;4;0;0;1;1;0;0;0;14;22.0
1101104;1;11;1104;10458;4081.58;2.5622430529353832;0;-9.19687;-63.1809;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;13;20.0
1101203;1;11;1203;9660;798.0830000000002;12.104004220112445;0;-11.196;-61.5174;0;1;0;0;0;0;0;0;0;0;0;2;0;3;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;13;16.0
1101302;1;11;1302;10947;1191.875;9.184687991609858;0;-11.029000000000002;-62.6696;0;1;0;0;0;0;0;0;0;0;0;2;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;1;0;0;0;16;41.0
1101401;1;11;1401;15852;1931.378;8.207611353137501;0;-10.2458;-63.29;0;1;0;0;0;0;0;0;0;0;0;8;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;16;40.0
1101435;1;11;1435;6970;807.1260000000002;8.635578583765112;0;-10.9068;-62.5564;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;9;15.0
1101450;1;11;1450;6074;2548.683;2.3831916326981424;0;-12.1754;-61.6032;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;1;0;0;0;7;8.0
1101468;1;11;1468;2169;6014.733;0.3606145110680724;0;-13.4823;-61.0471;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;6;9.0
1101476;1;11;1476;2856;605.692;4.715267825891707;0;-11.8295;-61.3153;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0.0
1101484;1;11;1484;5172;541.6469999999998;9.548654381912943;0;-11.9023;-61.5026;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;9;7.0
1101492;1;11;1492;20266;10959.767;1.8491269020591403;0;-12.052;-63.56800000000001;0;1;0;0;0;0;0;0;0;0;0;6;0;3;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;5;0;0;1;1;0;0;0;21;53.0
1101500;1;11;1500;11856;3773.505;3.14190652987077;0;-11.8055;-63.0182;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;12;58.0
1101559;1;11;1559;4308;459.978;9.365665314428082;0;-10.9056;-62.242;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;9;9.0
1101609;1;11;1609;10444;2197.413;4.752861660507151;0;-10.2483;-62.3538;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;2;0;0;0;0;13;13.0
1101708;1;11;1708;11467;831.857;13.78482118921882;0;-11.1261;-62.3639;0;1;0;0;0;0;0;0;0;0;0;3;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;12;25.0
1101757;1;11;1757;11204;3135.106;3.573722866148705;0;-9.86215;-62.1876;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;5;0;0;2;1;0;0;0;14;12.0
1101807;1;11;1807;6825;965.676;7.067587886620357;0;-10.4465;-62.1352;0;1;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;10;16.0
1200013;1;12;13;15256;1807.948;8.438295791693125;0;-9.82581;-66.8972;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;1;0;0;1;1;1;0;0;15;16.0
1200054;1;12;54;7417;4974.175;1.4911015394512657;0;-10.9298;-69.5738;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;12;12.0
1200104;1;12;104;26278;3916.502;6.7095586827224905;0;-10.995;-68.7497;0;1;0;0;0;0;0;1;1;0;0;9;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;1;0;1;24;52.0
1200138;1;12;138;10266;3034.869;3.382683074623649;0;-9.81528;-67.955;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;9;0.0
1200179;1;12;179;11733;1701.974;6.89375983416903;0;-10.565999999999999;-67.686;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;1;10;0.0
1200203;1;12;203;88376;8779.403;10.066288106378076;0;-7.6276199999999985;-72.6756;0;2;0;0;1;1;0;1;1;0;0;26;11;25;0;3;2;3;0;0;0;0;2;1;1;11;0;0;0;0;0;7;3;0;6;1;6;1;2;117;206.0
1200252;1;12;252;18411;1654.7679999999998;11.126030960231283;0;-11.0188;-68.7341;0;1;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;12;0.0
1200302;1;12;302;34780;27975.426;1.2432339725586306;0;-8.170539999999999;-70.351;0;1;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;1;0;0;0;0;0;2;0;7;0;0;0;0;0;1;1;0;1;0;1;0;0;24;41.0
1200328;1;12;328;8317;5357.281999999998;1.5524663439408268;0;-9.43091;-71.8974;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;8;10.0
1200336;1;12;336;18977;5452.853;3.4801965136415745;0;-7.6165699999999985;-72.8997;0;1;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;1;0;0;0;0;0;2;1;8;0;0;0;0;0;2;2;0;1;0;1;0;0;28;25.0
1200344;1;12;344;9459;10633.137;0.8895775536419781;0;-8.83291;-69.2679;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;1;1;1;0;12;26.0
1200351;1;12;351;18867;8191.691999999999;2.303187180377388;0;-8.93898;-72.7997;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;11;13.0
1200385;1;12;385;19761;1943.85;10.165907863261054;0;-10.2806;-67.1371;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;1;3;0;0;18;54.0
1200393;1;12;393;11982;6443.83;1.8594531513090815;0;-8.26323;-72.7537;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;10;14.0
1200401;1;12;401;407319;8834.942;46.10318890605055;1;-9.97499;-67.8243;0;3;1;0;3;1;0;1;2;0;0;95;50;370;1;5;4;5;1;0;1;0;9;5;0;27;4;0;0;1;1;38;2;0;5;0;23;0;2;660;991.0
1200427;1;12;427;18930;3076.951;6.152194168837919;0;-7.7386399999999975;-72.661;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;1;2;1;1;16;16.0
1200435;1;12;435;6540;6145.611999999999;1.0641739179108607;0;-9.44652;-70.4902;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;7;16.0
1200450;1;12;450;23024;2322.03;9.915461901870346;0;-10.1497;-67.7362;0;1;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;1;0;0;0;0;0;1;0;6;0;0;0;0;0;1;0;0;1;0;2;0;0;24;30.0
1200500;1;12;500;45848;23753.066000000006;1.9301929275151255;0;-9.06596;-68.6571;0;1;0;0;0;0;0;0;1;0;0;17;1;0;0;1;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;5;1;0;2;0;2;0;0;36;54.0
1200609;1;12;609;42567;20171.075;2.1102990296749184;0;-8.15697;-70.7722;0;1;0;0;0;0;0;0;0;0;0;8;5;1;0;1;0;1;0;0;0;0;0;0;0;12;0;0;0;0;0;2;1;0;1;0;2;1;0;36;42.0
1200708;1;12;708;19323;5347.468000000002;3.6134858591019143;0;-10.6516;-68.4969;0;1;0;0;0;0;0;0;0;0;0;6;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;15;30.0
1200807;1;12;807;18504;2604.885;7.1035765494445995;0;-9.581380000000001;-67.5478;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;13;0.0
1300029;1;13;29;16041;5923.460999999998;2.708045178317204;0;-3.22727;-64.8007;0;1;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;1;0;0;1;0;2;0;0;0;0;1;0;1;0;1;0;0;0;0;14;22.0
1300060;1;13;60;11536;4754.109;2.4265325006220935;0;-3.37455;-68.2005;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;3;0;3;0;0;0;0;14;20.0
1300086;1;13;86;13614;2446.121;5.565546430450497;0;-3.5669699999999995;-61.3963;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;4;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;1;0;15;20.0
1300102;1;13;102;21010;6036.38;3.4805628538958784;0;-3.74603;-61.6575;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;23.0
1300144;1;13;144;21973;54240.556;0.4051027795511536;0;-7.194089999999999;-59.896;0;1;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;11;44.0
1300201;1;13;201;19921;76435.093;0.2606263591515484;0;-4.37055;-70.1967;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;3;0;0;0;0;18;31.0
1300300;1;13;300;39565;7652.852;5.169968006698679;0;-3.58574;-59.1256;0;1;0;0;0;0;0;0;1;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2;0;3;0;0;0;0;23;33.0
1300409;1;13;409;27502;122461.086;0.22457746291748548;0;-0.9833729999999999;-62.9311;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;15;0;2;0;0;1;0;25;30.0
1300508;1;13;508;32041;5751.765;5.570637882458688;0;-2.79886;-57.0679;0;1;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;1;0;0;0;0;0;0;0;22;0;0;0;0;0;0;5;0;1;0;0;1;0;37;31.0
1300607;1;13;607;42984;8695.392;4.943307903772482;0;-4.377680000000002;-70.0342;0;1;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;21;41.0
1300631;1;13;631;19679;17472.785;1.1262657899127129;0;-3.89874;-61.3616;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;7;14.0
1300680;1;13;680;19207;2589.407;7.417528414806943;0;-2.9740900000000003;-57.5873;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;6;22.0
1300706;1;13;706;34308;21938.591;1.5638196637149575;0;-8.74232;-67.3919;0;1;0;0;0;0;0;0;0;0;0;5;1;6;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;20;61.0
1300805;1;13;805;41161;44236.184;0.9304826112487459;0;-4.39154;-59.5874;0;1;0;0;1;0;0;0;1;0;0;8;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;19;40.0
1300839;1;13;839;13081;9455.539;1.3834219286705918;0;-3.3153699999999997;-61.2206;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;8;21.0
1300904;1;13;904;15629;33642.597;0.46455985547132395;0;-6.5258199999999995;-64.3953;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16.0
1301001;1;13;1001;28294;25778.658;1.097574590577989;0;-4.88161;-66.9086;0;1;0;0;0;0;0;0;1;0;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;2;0;0;1;0;18;50.0
